booth_code,exhibitor_name
A1,SADEEPA BOOKSHOP
A2,SADEEPA BOOKSHOP
A3,SADEEPA BOOKSHOP
A4,SAMUDRA PUBLISHERS
A5,SAMUDRA PUBLISHERS
A6,SAMUDRA PUBLISHERS
A7,SAMUDRA PUBLISHERS
A8,SAMUDRA PUBLISHERS
A9,SAMUDRA PUBLISHERS
A10,SAMAYAWARDHANA BOOKSHOP
A11,SAMAYAWARDHANA BOOKSHOP
A12,SAMAYAWARDHANA BOOKSHOP
A13,PAPER CORNER
A14,PAPER CORNER
A15,PAPER CORNER
A16,POOBALASINGHAM BOOK DEPOT
A17,WISDOM BOOKS PVT LTD
A18,CGA BOOKS
A19,CGA BOOKS
A20,INTERNATIONAL BOOK HOUSE
A21,VIJITHA YAPA BOOKSHOP
A22,EXPOGRAPHIC BOOKSTORE
A23,NEPTUNE PUBLICATIONS
A24,NEPTUNE PUBLICATIONS
A25,NEPTUNE PUBLICATIONS
A26,NEPTUNE PUBLICATIONS
A27,GOOD READS
A28,NEPTUNE PUBLICATIONS
A29,NEPTUNE PUBLICATIONS
A30,NEPTUNE PUBLICATIONS
A31,NEPTUNE PUBLICATIONS
A32,NEPTUNE PUBLICATIONS
A33,ASHIRWADHA
A34,VIJITHA YAPA BOOKSHOP
A35,VIJITHA YAPA BOOKSHOP
A36,TIMEPLAN PUBLISHING PVT LTD
A37,TIMEPLAN PUBLISHING PVT LTD
A38,PERERA-HUSSEIN PUBLISHING HOUSE
A39,WISDOM BOOKS PVT LTD
A40,WISDOM BOOKS PVT LTD
A41,POOBALASINGHAM BOOK DEPOT
A42,POOBALASINGHAM BOOK DEPOT
A43,BRITISH COUNCIL
A44,BRITISH COUNCIL
A45,KUMARAN BOOK HOUSE
A46,SAMAYAWARDHANA BOOKSHOP
A47,SAMAYAWARDHANA BOOKSHOP
A48,SAMAYAWARDHANA BOOKSHOP
A49,JEYA BOOK CENTRE PVT LTD
A50,JEYA BOOK CENTRE PVT LTD
A51,JEYA BOOK CENTRE PVT LTD
A52,JEYA BOOK CENTRE PVT LTD
A53,JEYA BOOK CENTRE PVT LTD
A54,JEYA BOOK CENTRE PVT LTD
A55,JEYA BOOK CENTRE PVT LTD
A56,JEYA BOOK CENTRE PVT LTD
A57,JEYA BOOK CENTRE PVT LTD
A58,JEYA BOOK CENTRE PVT LTD
A59,JEYA BOOK CENTRE PVT LTD
A60,JEYA BOOK CENTRE PVT LTD
A61,JEYA BOOK CENTRE PVT LTD
A62,MAKEEN BOOKS
A63,MAKEEN BOOKS
A64,MAKEEN BOOKS
A65,MAKEEN BOOKS
A66,MAKEEN BOOKS
A67,MAKEEN BOOKS
A68,MAKEEN BOOKS
A69,MAKEEN BOOKS
A70,MAKEEN BOOKS
A71,MAKEEN BOOKS
A72,MAKEEN BOOKS
A73,SARASAVI BOOKSHOP
A74,SARASAVI BOOKSHOP
A75,SARASAVI BOOKSHOP
A76,SARASAVI BOOKSHOP
A77,SARASAVI BOOKSHOP
A78,SARASAVI BOOKSHOP
A79,ISLAMIC BOOK HOUSE - IBH
A80,ISLAMIC BOOK HOUSE - IBH
A81,SAMUDRA WETTASINGHE
A82,SAMUDRA WETTASINGHE
B83,SRI LANKA PHILATELIC BUREAU
B84,SAKHILA PRAKASHANA
B85,SARASWATHI PUBLICATIONS
B86,SARASWATHI PUBLICATIONS
B89,KURULU POTH PUBLISHERS
B90,KURULU POTH PUBLISHERS
B91,PANTHER
B9-A1,CENRAL BANK OF SRI LANKA
B93,SADEEPA BOOKSHOP
B94,SADEEPA BOOKSHOP
B95,GRAPHICARE
B105,HELADIVA PUBLISHERS
B106,HELADIVA PUBLISHERS
B107,NINE PUBLISHING
B108,KBOOKS PVT LTD
B109,KBOOKS PVT LTD
B113,KNOWLEDGE BANK
B114,KNOWLEDGE BANK
B115,KNOWLEDGE BANK
B116,KNOWLEDGE BANK
B117,KNOWLEDGE BANK
B118,KNOWLEDGE BANK
B119,KNOWLEDGE BANK
B120,KNOWLEDGE BANK
B121,RATHNA
B122,RATHNA
B123,FAST - SURASA
B124,FAST - SURASA
B125,FAST - SURASA
B126,FAST - SURASA
B127,GIHAN BOOK SHOP (W.O.T. FERNANDO)
B128,GIHAN BOOK SHOP (W.O.T. FERNANDO)
B129,GIHAN BOOK SHOP (W.O.T. FERNANDO)
B130,GIHAN BOOK SHOP (W.O.T. FERNANDO)
B131,RATHNA
B132,SOORIYA PUBLISHERS PVT LTD
B133,SOORIYA PUBLISHERS PVT LTD
B134,SOORIYA PUBLISHERS PVT LTD
B135,SOORIYA PUBLISHERS PVT LTD
B136,SOORIYA PUBLISHERS PVT LTD
B137,SOORIYA PUBLISHERS PVT LTD
B138,SOORIYA PUBLISHERS PVT LTD
B139,SOORIYA PUBLISHERS PVT LTD
B140,MARTIN WICKREMASINGHE BOOKS
C01,M D GUNASENA
C02,M D GUNASENA
C03,M D GUNASENA
C06,THARA PUBLICATIONS
C07,SAMANALA DANUMA PUBLISHERS
C08,SAMANALA DANUMA PUBLISHERS
C09,AKARSHA
C10,AKARSHA
C11,AKARSHA
C12,AKARSHA
C13,SATHARA
C14,SATHARA
C15,SATHARA
C16,SATHARA
C17,SATHARA
C18,AKURA BOOK PUBLISHERS
C19,AKURA BOOK PUBLISHERS
C20,BIOGRAPHIC EDUCATIONAL PUBLICATIONS
C21,THE CEYLON BIBLE SOCIETY
C22,SAYURA PUBLICATIONS
C23,SAYURA PUBLICATIONS
C24,READING PLANET
C26,SANDAKADA PUBLISHING
C27,RANMUTHU PUBLISHERS
C28,COLOMBO YOUNG MEN'S BUDDHIST ASSOCIATION
C29,SOUNDS & CO
C30,BMICH MUSIUM
D01,SUSARA PUBLICATIONS
D02,SUSARA PUBLICATIONS
D03,ATLAS HALL PVT LTD
D04,JEEWANA PUBLISHERS
D06,PRABHA PUBLISHERS
D07,TIKIRI PUBLISHERS PVT LTD
D08,SAMADHI PRAKASHANA
D09,EPA BOOK SHOP
D10,SERI PUBLICATION
D11,SOORIYAKANTHA PUBLISHERS
D12,SARADA PUBLICATIONS
D13,SARASAVI BOOKSHOP
D14,ASHIRWADHA
D15,ASHIRWADHA
D16,ASHIRWADHA
D17,ASHIRWADHA
D18,ASHIRWADHA
D21,UDAYA BOOK PUBLISHERS
D22,UDAYA BOOK PUBLISHERS
D25,KADULLA PUBLICATIONS
D27,PROGRESSIVE PUBLISHING HOUSE PVT LTD
D28,SUBHA PUBLISHERS
D29,SUSARA PUBLICATIONS
H03,MINSARA PUBLISHERS
H04,MINSARA PUBLISHERS
H05,MINSARA PUBLISHERS
H06,MINSARA PUBLISHERS
H08,THOTHANNA PUBLISHING HOUSE
H09,SHIKSHA MANDIRA PUBLICATIONS
H10,NATIONAL LIBRARY AND DOCUMENTATION SERVICES BOARD
H11,DENUMA PUBLISHERS
H12,AGAHAS PUBLISHERS
H13,PRIYANKARA BOOKSHOP
H14,DIGITAL ARENA
H17,MAKKMILAN BOOK DEPOT
H18,MAKKMILAN BOOK DEPOT
H19,COLORCRAFT
H20,COLORCRAFT
H21,IMASHI
H22,IMASHI
H23,IMASHI
H24,M D GUNASENA
H25,M D GUNASENA
H26,M D GUNASENA
H27,M D GUNASENA
H28,M D GUNASENA
H29,M D GUNASENA
H30,IMASHI
H31,IMASHI
H32,IMASHI
H33,COLORCRAFT
H34,COLORCRAFT
H35,AHASA BOOKS
H36,AHASA BOOKS
H37,SHAAKYA PUBLICATIONS
